execid_num,W0,nS,nSu,nO,K,T,P0,NumOfShares,sigma,permid,d,rf,phi,Nd1,Nd2,BS,year,CV,LD,PC,MD2
9760,514.7875846576617,0.0005805454685930618,0.0005805454685930618,0.00870501429344047,11602794.492006142,6.031475518367592,4885000.0,12943000.0,1.058,6125,0.0,0.0664,192.424,0.8687227173938057,0.06970721405969621,3701822.2170026507,2000,2.5983488145632068,0.013641388790347878,249312.2826394487,1.4779751560742653
9827,4519.096437373139,0.003655821457381016,0.003655821457381016,0.011135136173318478,257424696.3908764,4.630046880893287,238109000.0,52066000.0,0.467,2489,0.0,0.0664,606.8,0.7675369048667322,0.39200004585929704,108554873.74213073,2000,1.0048692921007867,0.2407925076821681,195445685.6005182,0.274109996682248
9847,64730.448114036684,0.054258669142982816,0.054258669142982816,0.06624847877617848,600818628.0028166,1.289002719919322,1543409000.0,40921000.0,0.413,23252,0.0028299999999999996,0.0664,2812.903,0.9922670192341544,0.9745536532263337,988398008.4588065,2000,0.4688964757107039,0.3561090184639971,1500807890.4383793,-1.9523834744943285
9909,4012.2412282037963,0.0017645614818120956,0.0017645614818120956,0.010767685784423121,113613049.5851703,1.5293729813012322,223963000.0,17924000.0,0.499,8627,0.0,0.0664,1240.5,0.9421290407631012,0.8304128051773861,125766746.92186488,2000,0.6171024240083555,0.3297744859418499,204920792.1544297,-0.9557978205794833
9924,66825.32970968717,0.0023997815685458702,0.0023997815685458702,0.06614528292074058,1165903966.2219024,10.180492636804532,10946251000.0,76912000.0,0.434,12884,0.0,0.0664,9371.242,0.9974273176282954,0.9211766418197781,10371792205.30638,2000,1.3847587772236558,0.15293887170650367,8249918312.188202,-1.4130306361820526
9934,13657.869822631203,0.0,0.0,0.02830540037243948,11746874.999981442,0.9999999999986087,200477000.0,10740000.0,0.627,22205,0.0032300000000000002,0.0664,1317.902,0.9999996076799326,0.999991916249916,188838299.92282715,2000,0.6269999999995638,0.32669344227248986,175441389.9885831,-4.312149568074709
9958,1806.5829227890174,0.0014893786934994408,0.0014893786934994408,0.015931959750838526,300430551.8823089,2.1002607821196904,709838000.0,25044000.0,0.371,5978,0.0,0.0664,827.4709999999999,0.9833060461283748,0.9440514783330891,451285111.4896428,2000,0.537663458226181,0.3452524016820437,706238566.825285,-1.5897239471372866
9985,4618.683224257908,3.3834171447278766e-05,3.3834171447278766e-05,0.05800306822031802,76429347.68134052,4.950974930371093,24602000.0,262692999.99999997,0.877,19818,0.0,0.0664,545.987,0.7133767886134483,0.08255068354715894,13008896.580639653,2000,1.9513939625871008,0.05943287635015673,5091656.793033301,1.3881171762792908
10049,728.9831740534695,0.0005836698070883805,0.0005836698070883805,0.0034640774210087807,363582658.5432954,4.895779639178734,382225000.0,15603000.0,0.229,11234,0.05224,0.0664,471.5,0.6875254014859349,0.49288061574513536,74017412.12086958,2000,0.5066947602434546,0.2716980739161206,360309682.23935133,0.01784659718588206
10278,15319.866963698947,0.13266973522833847,0.13266973522833847,0.0042150638482072,667407953.0917919,7.175365547265649,1552937000.0,69305000.0,0.364,3905,0.0,0.0664,1120.26,0.9672828211406106,0.8070938551118695,1167627605.0095856,2000,0.9750421701395839,0.24800852709022436,1554631643.346436,-0.8672367763816715
10307,4617.651869593664,0.14875524475524474,0.14875524475524474,0.07202797202797204,42230445.62793618,5.071663902882367,408003000.0,9152000.0,0.298,21440,0.0,0.0664,1445.681,0.9999876235220851,0.9998043878334234,377847878.49225205,2000,0.671106579636622,0.31850071667341046,456158797.87836903,-3.5459338959994358
10328,3311.3255151989965,0.0031366208731142043,0.0028633171780482465,0.0009110123168865243,8194952011.480024,2.1697999466552615,3140921000.0,137210000.0,0.527,2270,0.00437,0.0664,843.221,0.2502022576244814,0.07351014549794571,256866847.60792834,2000,0.7762836913040355,0.2923718746489767,2658602410.1864066,1.450137100581428
10404,4754.509516030145,0.0569240809582817,0.0569240809582817,0.03667905824039653,171079094.35034618,5.657873723829659,655533000.0,24210000.0,0.521,7250,0.0037,0.0664,394.552,0.9766966424594645,0.7735506727023999,536100332.103727,2000,1.2392654685215942,0.18127100238770394,433680408.5193873,-0.7505913066554613
